Time,Last Pit
20,0.3333333333333333
40,0.6666666666666666
60,1.0
80,1.3333333333333333
100,1.6666666666666667
120,2.0
140,2.3333333333333335
160,2.6666666666666665
180,3.0
200,3.3333333333333335
220,3.6666666666666665
240,4.0
260,4.333333333333333
280,4.666666666666667
300,5.0
320,5.333333333333333
340,5.666666666666667
360,6.0
380,6.333333333333333
400,6.666666666666667
420,7.0
440,7.333333333333333
460,7.666666666666667
480,8.0
500,8.333333333333334
520,8.666666666666666
540,9.0
560,9.333333333333334
580,9.666666666666666
600,10.0
620,10.333333333333334
640,10.666666666666666
660,11.0
680,11.333333333333334
700,11.666666666666666
720,12.0
740,12.333333333333334
760,12.666666666666666
780,13.0
800,13.333333333333334
820,13.666666666666666
840,14.0
860,14.333333333333334
880,14.666666666666666
900,15.0
920,15.333333333333334
940,15.666666666666666
960,16.0
980,16.333333333333332
1000,16.666666666666668
1020,17.0
1040,17.333333333333332
1060,17.666666666666668
1080,18.0
1100,18.333333333333332
1120,18.666666666666668
1140,19.0
1160,19.333333333333332
1180,19.666666666666668
1200,20.0
1220,20.333333333333332
1240,20.666666666666668
1260,21.0
1280,21.333333333333332
1300,21.666666666666668
1320,22.0
1340,22.333333333333332
1360,22.666666666666668
1380,23.0
1400,23.333333333333332
1420,23.666666666666668
1440,24.0
1460,24.333333333333332
1480,24.666666666666668
1500,25.0
1520,25.333333333333332
1540,25.666666666666668
1560,26.0
1580,26.333333333333332
1600,26.666666666666668
1620,27.0
1640,27.333333333333332
1660,27.666666666666668
1680,28.0
1700,28.333333333333332
1720,28.666666666666668
1740,29.0
1760,29.333333333333332
1780,29.666666666666668
1800,30.0
1820,30.333333333333332
1840,30.666666666666668
1860,31.0
1880,31.333333333333332
1900,31.666666666666668
1920,32.0
1940,32.333333333333336
1960,32.666666666666664
1980,33.0
2000,33.333333333333336
2020,33.666666666666664
2040,34.0
2060,34.333333333333336
2080,34.666666666666664
2100,35.0
2120,35.333333333333336
2140,35.666666666666664
2160,36.0
2180,36.333333333333336
2200,36.666666666666664
2220,37.0
2240,37.333333333333336
2260,37.666666666666664
2280,38.0
2300,38.333333333333336
2320,38.666666666666664
2340,39.0
2360,39.333333333333336
2380,39.666666666666664
2400,40.0
2420,40.333333333333336
2440,40.666666666666664
2460,41.0
2480,41.333333333333336
2500,41.666666666666664
2520,42.0
2540,42.333333333333336
2560,42.666666666666664
2580,43.0
2600,43.333333333333336
2620,43.666666666666664
2640,44.0
2660,44.333333333333336
2680,44.666666666666664
2700,45.0
2720,45.333333333333336
2740,45.666666666666664
2760,46.0
2780,46.333333333333336
2800,46.666666666666664
2820,47.0
2840,47.333333333333336
2860,47.666666666666664
2880,48.0
2900,48.333333333333336
2920,48.666666666666664
2940,49.0
2960,49.333333333333336
2980,49.666666666666664
3000,50.0
3020,50.333333333333336
3040,30.5054
3060,30.838733333333334
3080,31.17206666666667
3100,31.5054
3120,31.838733333333334
3140,32.172066666666666
3160,32.5054
3180,32.83873333333334
3200,33.172066666666666
3220,33.5054
3240,33.502316666666665
3260,33.83565
3280,34.16898333333334
3300,34.502316666666665
3320,34.83565
3340,35.16898333333334
3360,35.502316666666665
